Identifier	Character	Dialogue	Filename	Line Number
hilltop_convince_9591ebe9	f	What do you mean, too dangerous?	game/convince.rpy	5
hilltop_convince_5a51bec3	f	Is this some kind of weird joke you're playing on me?	game/convince.rpy	6
hilltop_convince_af188c61	f	I can never really tell when you're joking, or when you really mean something.	game/convince.rpy	7
hilltop_convince_e00eea8b	f	Well, that might be fun after. But before we do that, I'm actually kind of hungry.	game/convince.rpy	11
hilltop_convince_44f61932	f	And you {i}did{/i} promise we'd meet somewhere for dinner tonight.	game/convince.rpy	12
hilltop_convince_fd71606d	f	So how about if we go for dinner first, and a drive after?	game/convince.rpy	13
hilltop_convince_1622aa3e	f	Deal!	game/convince.rpy	16
hilltop_convince_eb918e47	f	...What?	game/convince.rpy	21
hilltop_convince_c80b15b5	f	This is really not funny, if you're trying to make a joke.	game/convince.rpy	22
hilltop_convince_02ba90f8	f	Haha, nice.	game/convince.rpy	25
hilltop_convince_d50d252e	f	But seriously, where are we getting dinner?	game/convince.rpy	26
hilltop_convince_30fadd6d	f	Sounds good! See you at the Burger Shack!	game/convince.rpy	29
hilltop_convince_6899425c	f	Ooh, I've never had Thai! That sounds fun!	game/convince.rpy	35
hilltop_convince_ba6043d3	f	Hooray for taco-night!	game/convince.rpy	41
dinnerAnyway_afbf4212	f	Where do you want to meet, anyway?	game/convince.rpy	55
dinnerAnyway_30fadd6d	f	Sounds good! See you at the Burger Shack!	game/convince.rpy	58
dinnerAnyway_6899425c	f	Ooh, I've never had Thai! That sounds fun!	game/convince.rpy	64
dinnerAnyway_ba6043d3	f	Hooray for taco-night!	game/convince.rpy	70
tooDangerousForDinner_3e97b982	f	Is this some kind of weird death threat? What's going on? You're kind of starting to creep me out here.	game/convince.rpy	81
tooDangerousForDinner_5f633294	f	Okay...	game/convince.rpy	88
tooDangerousForDinner_472f52ec	f	You're kind of weirding me out here.	game/convince.rpy	89
tooDangerousForDinner_0ca136f1	f	Maybe we can talk about it once we meet?	game/convince.rpy	90
tooDangerousForDinner_dc1525ac	f	Okay, this is all pretty weird.	game/convince.rpy	92
tooDangerousForDinner_59bcd4f0	f	I mean - You seem pretty insistent that dinner tonight would be disastrous.	game/convince.rpy	93
tooDangerousForDinner_81422852	f	And I feel like I'd be an idiot to just ignore someone talking about me dying.	game/convince.rpy	94
tooDangerousForDinner_d2ed02dd	f	But this isn't the kind of thing that happens in real life, you know?	game/convince.rpy	95
tooDangerousForDinner_f349a7b7	f	Someone I've known for a while just coming up and telling me that I'm going to die tonight?	game/convince.rpy	96
tooDangerousForDinner_d7e6736e	f	I mean - What's going to happen? What makes you think I'm going to die?	game/convince.rpy	97
tooDangerousForDinner_31cd8257	f	We're going to dinner, for goodness sakes, not a war zone. What's the worst that can happen at a simple dinner?	game/convince.rpy	99
tooDangerousForDinner_2f61306f	f	Hah. You worry too much! That's {i}clearly{/i} not going to happen.	game/convince.rpy	117
tooDangerousForDinner_9b2df253	f	Where did you even come up with that? Have you just been sitting home today, coming up with things that could go wrong tonight?	game/convince.rpy	118
tooDangerousForDinner_57b28dc2	f	Lighten up! We're just having dinner! There's not a whole lot that can actually go wrong with dinner.	game/convince.rpy	120
tooDangerousForDinner_bb1efecc	f	Deal.	game/convince.rpy	125
tooDangerousForDinner_5da0f644	f	Okay. Let me turn it around then:\nWhat {i}can{/i} you do to convince me that going to dinner is a bad idea?	game/convince.rpy	128
tooDangerousForDinner_5403368e	f	Sitting here at home, after a completely near-death-experience-free-day, it's hard to imagine anything really bad happening like you're saying.	game/convince.rpy	129
tooDangerousForDinner_c7a1a60d	f	So what {i}can{/i} you say to make me believe you that actually I'm in terrible danger, and somehow you're the only one who knows anything about it?	game/convince.rpy	131
tooDangerousForDinner_d0c460bd	f	Yeah. That's kind of the problem I'm running into.	game/convince.rpy	134
tooDangerousForDinner_d806fd8a	f	I'm sorry. This is just all too weird for me.	game/convince.rpy	135
tooDangerousForDinner_678c4d3f	f	I guess you've successfully weirded me out, though.	game/convince.rpy	136
tooDangerousForDinner_6243d9fd	f	Do you mind if I just get dinner on my own? We can talk about this tomorrow.	game/convince.rpy	137
tooDangerousForDinner_065caad8	f	Don't worry. I'll watch out for [currentThreat].	game/convince.rpy	138
tooDangerousForDinner_5d27ce74		There is a click as she hangs up.	game/convince.rpy	139
tooDangerousForDinner_c375ec5d	f	I... Why would you even bring that up?	game/convince.rpy	144
tooDangerousForDinner_b94c25f0	f	And how do you even know about that?	game/convince.rpy	145
tooDangerousForDinner_d9b9038b	f	Have you been talking to Mom? Or stalking me or something?	game/convince.rpy	146
tooDangerousForDinner_4e528e1d	f	I'm not sure I'm comfortable with you digging around in my personal life like that.	game/convince.rpy	147
tooDangerousForDinner_c2acdecf	f	I think... I'm going to call off dinner tonight.	game/convince.rpy	148
tooDangerousForDinner_223f4d52	f	You've at least creeped me out enough to get out of dinner, at any rate.	game/convince.rpy	149
tooDangerousForDinner_49705a76	f	I'm going to go find something myself. We'll talk more tomorrow, I guess.	game/convince.rpy	150
tooDangerousForDinner_93d131ca	f	What? How would you know about that?	game/convince.rpy	153
tooDangerousForDinner_830e8b23	f	Oh god, have you somehow been reading my diary?	game/convince.rpy	154
tooDangerousForDinner_7bdb189e	f	Or are you some kind of creepy stalker or something?	game/convince.rpy	155
tooDangerousForDinner_22a957a7	f	Well, congratulations, I guess. You've convinced me that having dinner with you {i}is{/i} probably a bad idea.	game/convince.rpy	156
tooDangerousForDinner_db57a5a5	f	I... Yeah. We'll talk about this tomorrow, maybe. I can't deal with this right now.	game/convince.rpy	157
tooDangerousForDinner_d0775eaf	f	How would you even find out about that?	game/convince.rpy	160
tooDangerousForDinner_d15a0536	f	Did Mom tell you that or something? Why were you talking to Mom in the first place?	game/convince.rpy	161
tooDangerousForDinner_9c4dec7a	f	Or are those horrible pictures still around somewhere?	game/convince.rpy	162
tooDangerousForDinner_ce807a1f	f	Okay. I think you're right. We {i}shouldn't{/i} have dinner tonight.	game/convince.rpy	163
tooDangerousForDinner_898b9492	f	Don't worry, I'll keep an eye out for [currentThreat].	game/convince.rpy	164
saidMagicWord_33c6bd29	f	Why can't you tell me now?	game/convince.rpy	171
saidMagicWord_a04f0184	f	Wait.	game/convince.rpy	172
saidMagicWord_1f3f2540	f	How do you even {i}know{/i} about the local Hogwarts pickup stop?	game/convince.rpy	173
saidMagicWord_986bb84d	f	Are we talking about the same place?	game/convince.rpy	174
saidMagicWord_052837ea	f	I'm... hmm. Let me think. No, I'm {i}positive{/i} I never told anyone about that.	game/convince.rpy	175
saidMagicWord_0ffa008f	f	I didn't even write it in my diary.	game/convince.rpy	176
saidMagicWord_9cf4ea6b	f	There is literally {i}no way{/i} you could know about that.	game/convince.rpy	177
saidMagicWord_437682c7	f	That thing. That you just said.	game/convince.rpy	178
saidMagicWord_569eddac	f	It's not scientifically possible!	game/convince.rpy	179
saidMagicWord_f2d46393	f	YOU are not scientifically possible!	game/convince.rpy	180
saidMagicWord_3ec57d49	f	...	game/convince.rpy	181
saidMagicWord_13de18b6	f	But you've got me {i}really{/i} curious now.	game/convince.rpy	182
